price_total,address,area_sqft,latitude,longitude,bhk,bathrooms,balcony,status,transaction,furnishing,property_type,price_per_sqft,city,nearest_station,station_city,station_lat,station_lon,annual_aqi,dist_to_station_km,log_price_sqft,aqi_100,log_area,furnishing_score,is_new,is_ready,aqi_delta,aqi_delta_100,pct_uplift,price_uplift_rs,ols_residual,pct_uplift_sl,price_uplift_sl
7700000.0,"Gurgaon - Faridabad Road, Gurgaon, Delhi NCR",1250.0,28.436305,77.13605,2.0,2.0,2.0,Ready to Move,Resale,Semi-Furnished,Flat,6160.0,Gurgaon,Gwal Pahari,Gurgaon,28.42,77.15,219.39,2.27,8.725832056527565,2.1938999999999997,7.1308988302963465,1,0,1,12.990862569242921,0.12990862569242922,0.0361858665950176,278631.17278163595,0.2265408354999802,-0.001035825965109316,-7975.8599313417335
10500000.0,"Sector 110A, Gurgaon, Chandan Vihar, Gurgaon, Delhi NCR",1615.0,28.513139724731445,77.02595520019531,3.0,3.0,3.0,Ready to Move,Resale,Unfurnished,Flat,6501.547987616099,Gurgaon,Vikas Sadan,Gurgaon,28.45,77.026,177.78,7.02,8.779795579470996,1.7778,7.387090235656757,0,0,1,-28.619137430757064,-0.28619137430757063,0.0,0.0,0.1471319561417683,0.0,0.0
7200000.0,"H-024, Gulshan Vivante, Sector-137, Noida, Sector 137, Noida, Delhi NCR",1200.0,28.5074613813646,77.4078166697626,2.0,2.0,3.0,Ready to Move,Resale,Semi-Furnished,Flat,6000.0,Noida,Sector 125 Noida,Noida,28.5448,77.329,202.65,8.75,8.699514748210191,2.0265,7.090076835776092,1,0,1,-3.7491374307570595,-0.037491374307570595,0.0,0.0,0.1638314191021042,0.0,0.0
7000000.0,"G T Road, Ghaziabad, Delhi NCR",1690.0,28.679009,77.3492951427093,3.0,3.0,2.0,Ready to Move,Resale,Semi-Furnished,Flat,4142.011834319526,Ghaziabad,Vasundhara,Ghaziabad,28.659,77.365,225.23,2.7,8.328936899102468,2.2523,7.432483807917119,1,0,1,18.830862569242925,0.18830862569242923,0.052876945135514,370138.6159485979,-0.2239165606405642,-0.0015011285077207726,-10507.899554045407
9500000.0,"Sector 24 Rohini, New Delhi - Rohini, Delhi NCR",1000.0,28.721435546875,77.10701751708984,3.0,2.0,1.0,Ready to Move,New Property,Semi-Furnished,Individual House,9500.0,New Delhi,Rohini,New Delhi,28.7041,77.1172,220.66,2.17,9.159047077588632,2.2066,6.907755278982137,1,1,1,14.260862569242931,0.14260862569242932,0.0397929442933702,378032.970787017,0.6624221473536878,-0.0011370317792438467,-10801.801902816544
15000000.0,"Sector 24 Rohini, New Delhi - Rohini, Delhi NCR",1450.0,28.72721290588379,77.09606170654297,4.0,3.0,1.0,Ready to Move,New Property,Semi-Furnished,Individual House,10344.827586206897,New Delhi,Rohini,New Delhi,28.7041,77.1172,220.66,3.29,9.244241923651863,2.2066,7.27931883541462,1,1,1,14.260862569242931,0.14260862569242932,0.0397929442933702,596894.1644005532,0.6619386603245996,-0.0011370317792438467,-17055.4766886577
4800000.0,"Noida Extension, Noida, Delhi NCR",1175.0,28.616078045953845,77.42810224734058,2.0,2.0,2.0,Ready to Move,Resale,Semi-Furnished,Flat,4085.106382978724,Noida,Sector 62 Noida,Noida,28.627,77.373,224.41,5.51,8.31510304929986,2.2441,7.069023426578259,1,0,1,18.01086256924293,0.1801086256924293,0.0505172079869304,242482.59833726636,-0.1561843206062896,-0.001435808013097839,-6891.878462869628
5100000.0,"NeelPadam Kunj, Vaishali, Sector 1, Ghaziabad, Sector 1 Vaishali, Ghaziabad, Delhi NCR",1087.0,28.644309997558597,77.331787109375,2.0,2.0,2.0,Ready to Move,Resale,Semi-Furnished,Flat,4691.8123275069,Ghaziabad,Anand Vihar,New Delhi,28.6469,77.3152,247.76,1.64,8.453574210573345,2.4776,6.99117688712121,1,0,1,41.360862569242926,0.41360862569242923,0.1198274119895816,611119.8011468666,0.0641293229655968,-0.0032941783649214074,-16800.309661099178
14000000.0,"Sector 45, Noida, Sector 45, Noida, Delhi NCR",1845.0,28.5469297107013,77.3543872945106,3.0,3.0,3.0,Ready to Move,Resale,Semi-Furnished,Flat,7588.075880758807,Noida,Sector 125 Noida,Noida,28.5448,77.329,202.65,2.49,8.934333331104906,2.0265,7.520234556474628,1,0,1,-3.7491374307570595,-0.037491374307570595,0.0,0.0,0.2994605205791494,0.0,0.0
6250000.0,"Sector 37C, Gurgaon, Delhi NCR",1400.0,28.449384,76.98441,2.0,2.0,2.0,Ready to Move,New Property,Semi-Furnished,Flat,4464.285714285715,Gurgaon,Vikas Sadan,Gurgaon,28.45,77.026,177.78,4.07,8.403864506109235,1.7778,7.24422751560335,1,1,1,-28.619137430757064,-0.28619137430757063,0.0,0.0,-0.2876784481640175,0.0,0.0
8700000.0,"Sushant Lok 2, Gurgaon, Delhi NCR",1600.0,28.423049,77.08741,3.0,2.0,1.0,Ready to Move,Resale,Unfurnished,Flat,5437.5,Gurgaon,Aya Nagar,New Delhi,28.4725,77.1097,186.49,5.91,8.601074675396939,1.8649,7.377758908227872,0,0,1,-19.909137430757056,-0.19909137430757057,0.0,0.0,-0.0056043193200565,0.0,0.0
13000000.0,"Sector 29, Noida, Delhi NCR",1950.0,28.5697371550333,77.3324116681809,3.0,3.0,2.0,Ready to Move,Resale,Semi-Furnished,Individual House,6666.666666666667,Noida,Sector 125 Noida,Noida,28.5448,77.329,202.65,2.79,8.804875263868018,2.0265,7.575584651557793,1,0,1,-3.7491374307570595,-0.037491374307570595,0.0,0.0,0.1572393504998839,0.0,0.0
15000000.0,"flat number 703, kalypso tower 4, jaypee wish town noida, sector 128, Sector 128, Noida, Delhi NCR",1800.0,28.529146,77.355843,2.0,3.0,1.0,Ready to Move,New Property,Semi-Furnished,Flat,8333.333333333334,Noida,Sector 125 Noida,Noida,28.5448,77.329,202.65,3.15,9.028018815182229,2.0265,7.495541943884256,1,1,1,-3.7491374307570595,-0.037491374307570595,0.0,0.0,0.3465766988314058,0.0,0.0
5500000.0,"Noida Extension, Noida., Noida Extension, Noida, Delhi NCR",1440.0,28.587499354879053,77.44316979301459,3.0,2.0,5.0,Ready to Move,Resale,Semi-Furnished,Flat,3819.444444444444,Noida,Sector 62 Noida,Noida,28.627,77.373,224.41,8.14,8.247860257632652,2.2441,7.272398392570047,1,0,1,18.01086256924293,0.1801086256924293,0.0505172079869304,277844.6439281177,-0.2703230679645951,-0.001435808013097839,-7896.944072038114
4200000.0,"Noida Extension, Noida, Noida Extension, Noida, Delhi NCR",1040.0,28.616204,77.422256,2.0,2.0,3.0,Ready to Move,Resale,Semi-Furnished,Flat,4038.4615384615386,Noida,Sector 62 Noida,Noida,28.627,77.373,224.41,4.96,8.303619091118179,2.2441,6.946975992135418,1,0,1,18.01086256924293,0.1801086256924293,0.0505172079869304,212172.27354510807,-0.1395255275406306,-0.001435808013097839,-6030.393655010924
3900000.0,"Noida extension., Noida Extension, Greater Noida, Delhi NCR",1025.0,28.57223,77.474898,2.0,2.0,3.0,Ready to Move,Resale,Semi-Furnished,Flat,3804.878048780488,Greater Noida,Sanjay Nagar,Ghaziabad,28.667,77.442,219.64,11.02,8.244039219527366,2.1963999999999997,6.932447891572509,1,0,1,13.240862569242921,0.1324086256924292,0.0368949307277215,143890.22983811403,-0.2088074024914643,-0.0010557491800359253,-4117.421802140108
10000000.0,"Sector 16 Vasundhara, Ghaziabad, Delhi NCR",1836.0,28.6571606,77.355748,3.0,2.0,2.0,Ready to Move,Resale,Semi-Furnished,Individual House,5446.623093681917,Ghaziabad,Vasundhara,Ghaziabad,28.659,77.365,225.23,0.93,8.602751079777883,2.2523,7.515344571180436,1,0,1,18.830862569242925,0.18830862569242923,0.052876945135514,528769.45135514,0.0307908697837717,-0.0015011285077207726,-15011.285077207725
7600000.0,"Vaishali Ghaziabad, Vaishali, Ghaziabad, Delhi NCR",1350.0,28.645769,77.38511,3.0,2.0,4.0,Ready to Move,Resale,Semi-Furnished,Flat,5629.62962962963,Ghaziabad,Sector 62 Noida,Noida,28.627,77.373,224.41,2.4,8.635798933824084,2.2441,7.2078598714324755,1,0,1,18.01086256924293,0.1801086256924293,0.0505172079869304,383930.7807006717,0.1324974576859219,-0.001435808013097839,-10912.140899543576
3900000.0,"Sector 81, Gurgaon, Sector 81, Gurgaon, Delhi NCR",800.0,28.387731,76.96791987,2.0,2.0,1.0,Ready to Move,Resale,Semi-Furnished,Flat,4875.0,Gurgaon,Vikas Sadan,Gurgaon,28.45,77.026,177.78,8.96,8.491875383431948,1.7778,6.684611727667927,1,0,1,-28.619137430757064,-0.28619137430757063,0.0,0.0,-0.0183633888363488,0.0,0.0
